表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
「,記号,括弧開,*,*,*,*,「,「,「
がんばれ,動詞,自立,*,*,五段・ラ行,命令ｅ,がんばる,ガンバレ,ガンバレ
」,記号,括弧閉,*,*,*,*,」,」,」
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
しか,助詞,係助詞,*,*,*,*,しか,シカ,シカ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
帰れ,動詞,自立,*,*,一段,未然形,帰れる,カエレ,カエレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
？,記号,一般,*,*,*,*,？,？,？
　,記号,空白,*,*,*,*,　,　,　
帰り,動詞,自立,*,*,五段・ラ行,連用形,帰る,カエリ,カエリ
たく,助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
？,記号,一般,*,*,*,*,？,？,？
　,記号,空白,*,*,*,*,　,　,　
初めて,副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
知っ,動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
月,名詞,一般,*,*,*,*,月,ツキ,ツキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
眩し,形容詞,自立,*,*,形容詞・イ段,ガル接続,眩しい,マブシ,マブシ
さ,名詞,接尾,特殊,*,*,*,さ,サ,サ
アクビ,名詞,一般,*,*,*,*,*
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
間,名詞,一般,*,*,*,*,間,マ,マ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
　,記号,空白,*,*,*,*,　,　,　
また,接続詞,*,*,*,*,*,また,マタ,マタ
太陽,名詞,一般,*,*,*,*,太陽,タイヨウ,タイヨー
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
昇っ,動詞,自立,*,*,五段・ラ行,連用タ接続,昇る,ノボッ,ノボッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
く,動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
も,助詞,係助詞,*,*,*,*,も,モ,モ
乗っ,動詞,自立,*,*,五段・ラ行,連用タ接続,乗る,ノッ,ノッ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
この,連体詞,*,*,*,*,*,この,コノ,コノ
船,名詞,一般,*,*,*,*,船,フネ,フネ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
　,記号,空白,*,*,*,*,　,　,　
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も,助詞,係助詞,*,*,*,*,も,モ,モ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
この,連体詞,*,*,*,*,*,この,コノ,コノ
カバン,名詞,一般,*,*,*,*,カバン,カバン,カバン
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
捨て,動詞,自立,*,*,一段,連用形,捨てる,ステ,ステ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いこ,動詞,非自立,*,*,五段・カ行促音便,未然ウ接続,いく,イコ,イコ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
結局,名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
最後,名詞,一般,*,*,*,*,最後,サイゴ,サイゴ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
け,助詞,終助詞,*,*,*,*,け,ケ,ケ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
?,名詞,サ変接続,*,*,*,*,*
やわらかい,形容詞,自立,*,*,形容詞・アウオ段,基本形,やわらかい,ヤワラカイ,ヤワラカイ
胸,名詞,一般,*,*,*,*,胸,ムネ,ムネ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「,記号,括弧開,*,*,*,*,「,「,「
ウサギ,名詞,一般,*,*,*,*,ウサギ,ウサギ,ウサギ
と,助詞,並立助詞,*,*,*,*,と,ト,ト
カメ,名詞,固有名詞,一般,*,*,*,カメ,カメ,カメ
」,記号,括弧閉,*,*,*,*,」,」,」
気がつきゃ,動詞,自立,*,*,五段・カ行イ音便,仮定縮約１,気がつく,キガツキャ,キガツキャ
もう,副詞,一般,*,*,*,*,もう,モウ,モー
夕暮れ,名詞,副詞可能,*,*,*,*,夕暮れ,ユウグレ,ユーグレ
　,記号,空白,*,*,*,*,　,　,　
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
あっという間,名詞,一般,*,*,*,*,あっという間,アットイウマ,アットユウマ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
わっ,副詞,助詞類接続,*,*,*,*,わっ,ワッ,ワッ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
ちゃ,助詞,接続助詞,*,*,*,*,ちゃ,チャ,チャ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
　,記号,空白,*,*,*,*,　,　,　
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ
移り変わり,名詞,一般,*,*,*,*,移り変わり,ウツリカワリ,ウツリカワリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
激しい,形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ
この世,名詞,一般,*,*,*,*,この世,コノヨ,コノヨ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
目指し,動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
ゴール,名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
も,助詞,係助詞,*,*,*,*,も,モ,モ
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
まま,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
息,名詞,サ変接続,*,*,*,*,息,イキ,イキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
切らし,動詞,自立,*,*,五段・サ行,連用形,切らす,キラシ,キラシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
辿り,動詞,自立,*,*,五段・ラ行,連用形,辿る,タドリ,タドリ
着く,動詞,自立,*,*,五段・カ行イ音便,基本形,着く,ツク,ツク
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
　,記号,空白,*,*,*,*,　,　,　
紙テープ,名詞,一般,*,*,*,*,紙テープ,カミテープ,カミテープ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
もう,副詞,一般,*,*,*,*,もう,モウ,モー
切れ,動詞,自立,*,*,一段,連用形,切れる,キレ,キレ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
目,名詞,一般,*,*,*,*,目,メ,メ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
止まら,動詞,自立,*,*,五段・ラ行,未然形,止まる,トマラ,トマラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
　,記号,空白,*,*,*,*,　,　,　
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
勝手,名詞,形容動詞語幹,*,*,*,*,勝手,カッテ,カッテ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
決め,動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
何処,名詞,代名詞,一般,*,*,*,何処,ドコ,ドコ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
落とし,動詞,自立,*,*,五段・サ行,連用形,落とす,オトシ,オトシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
宝物,名詞,一般,*,*,*,*,宝物,ホウモツ,ホーモツ
　,記号,空白,*,*,*,*,　,　,　
探し,動詞,自立,*,*,五段・サ行,連用形,探す,サガシ,サガシ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
こんなに,副詞,助詞類接続,*,*,*,*,こんなに,コンナニ,コンナニ
狭い,形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ
箱庭,名詞,一般,*,*,*,*,箱庭,ハコニワ,ハコニワ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
ほんの,連体詞,*,*,*,*,*,ほんの,ホンノ,ホンノ
ちょっと,副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ
パソコン,名詞,一般,*,*,*,*,パソコン,パソコン,パソコン
も,助詞,係助詞,*,*,*,*,も,モ,モ
ケータイ,名詞,一般,*,*,*,*,*
も,助詞,係助詞,*,*,*,*,も,モ,モ
なかっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
でも,接続詞,*,*,*,*,*,でも,デモ,デモ
なん,名詞,代名詞,一般,*,*,*,なん,ナン,ナン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
不自由,名詞,形容動詞語幹,*,*,*,*,不自由,フジユウ,フジユー
も,助詞,係助詞,*,*,*,*,も,モ,モ
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
て,助詞,接続助詞,*,*,*,*,て,テ,テ
笑っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,笑う,ワラッ,ワラッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いたん,動詞,自立,*,*,五段・マ行,連用タ接続,いたむ,イタン,イタン
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
顔,名詞,一般,*,*,*,*,顔,カオ,カオ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
ヒマ,名詞,一般,*,*,*,*,ヒマ,ヒマ,ヒマ
人,名詞,接尾,一般,*,*,*,人,ジン,ジン
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
チマチマ,名詞,一般,*,*,*,*,*
書き込み,名詞,一般,*,*,*,*,書き込み,カキコミ,カキコミ
でも,接続詞,*,*,*,*,*,でも,デモ,デモ
気,名詞,一般,*,*,*,*,気,キ,キ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
さ,助詞,終助詞,*,*,*,*,さ,サ,サ
　,記号,空白,*,*,*,*,　,　,　
どうせ,副詞,一般,*,*,*,*,どうせ,ドウセ,ドーセ
名無し,名詞,一般,*,*,*,*,名無し,ナナシ,ナナシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
卑怯,名詞,一般,*,*,*,*,卑怯,ヒキョウ,ヒキョー
者,名詞,接尾,一般,*,*,*,者,シャ,シャ
進化,名詞,サ変接続,*,*,*,*,進化,シンカ,シンカ
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
テクノロジー,名詞,一般,*,*,*,*,テクノロジー,テクノロジー,テクノロジー
　,記号,空白,*,*,*,*,　,　,　
上手く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,上手い,ウマク,ウマク
乗りこなせ,動詞,自立,*,*,一段,未然形,乗りこなせる,ノリコナセ,ノリコナセ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
戻れ,動詞,自立,*,*,一段,未然形,戻れる,モドレ,モドレ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
なく,助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
て,助詞,接続助詞,*,*,*,*,て,テ,テ
　,記号,空白,*,*,*,*,　,　,　
戻り,動詞,自立,*,*,五段・ラ行,連用形,戻る,モドリ,モドリ
たく,助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
絡み合う,動詞,自立,*,*,五段・ワ行促音便,基本形,絡み合う,カラミアウ,カラミアウ
利権,名詞,一般,*,*,*,*,利権,リケン,リケン
　,記号,空白,*,*,*,*,　,　,　
後回し,名詞,一般,*,*,*,*,後回し,アトマワシ,アトマワシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
人権,名詞,一般,*,*,*,*,人権,ジンケン,ジンケン
　,記号,空白,*,*,*,*,　,　,　
毒,名詞,一般,*,*,*,*,毒,ドク,ドク
で,助詞,格助詞,一般,*,*,*,で,デ,デ
作る,動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
エネルギー,名詞,一般,*,*,*,*,エネルギー,エネルギー,エネルギー
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
編集,名詞,サ変接続,*,*,*,*,編集,ヘンシュウ,ヘンシュー
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ニュース,名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
　,記号,空白,*,*,*,*,　,　,　
見え,動詞,自立,*,*,一段,未然形,見える,ミエ,ミエ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
恐怖,名詞,サ変接続,*,*,*,*,恐怖,キョウフ,キョーフ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
雨,名詞,一般,*,*,*,*,雨,アメ,アメ
言い,動詞,自立,*,*,五段・ワ行促音便,連用形,言う,イイ,イイ
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
も,助詞,係助詞,*,*,*,*,も,モ,モ
言え,動詞,自立,*,*,一段,未然形,言える,イエ,イエ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
この,連体詞,*,*,*,*,*,この,コノ,コノ
世の中,名詞,一般,*,*,*,*,世の中,ヨノナカ,ヨノナカ
小さな,連体詞,*,*,*,*,*,小さな,チイサナ,チーサナ
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
も,助詞,係助詞,*,*,*,*,も,モ,モ
届か,動詞,自立,*,*,五段・カ行イ音便,未然形,届く,トドカ,トドカ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
まま,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
息,名詞,サ変接続,*,*,*,*,息,イキ,イキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
切らし,動詞,自立,*,*,五段・サ行,連用形,切らす,キラシ,キラシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
辿り,動詞,自立,*,*,五段・ラ行,連用形,辿る,タドリ,タドリ
着く,動詞,自立,*,*,五段・カ行イ音便,基本形,着く,ツク,ツク
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
　,記号,空白,*,*,*,*,　,　,　
札幌,名詞,固有名詞,地域,一般,*,*,札幌,サッポロ,サッポロ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
椰子,名詞,一般,*,*,*,*,椰子,ヤシ,ヤシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
木,名詞,一般,*,*,*,*,木,キ,キ
目,名詞,一般,*,*,*,*,目,メ,メ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
止まら,動詞,自立,*,*,五段・ラ行,未然形,止まる,トマラ,トマラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
　,記号,空白,*,*,*,*,　,　,　
ヤワ,名詞,形容動詞語幹,*,*,*,*,ヤワ,ヤワ,ヤワ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
リーダー,名詞,一般,*,*,*,*,リーダー,リーダー,リーダー
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
決め,動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
何処,名詞,代名詞,一般,*,*,*,何処,ドコ,ドコ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
落とし,動詞,自立,*,*,五段・サ行,連用形,落とす,オトシ,オトシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
宝物,名詞,一般,*,*,*,*,宝物,ホウモツ,ホーモツ
　,記号,空白,*,*,*,*,　,　,　
探し,動詞,自立,*,*,五段・サ行,連用形,探す,サガシ,サガシ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
こんなに,副詞,助詞類接続,*,*,*,*,こんなに,コンナニ,コンナニ
狭い,形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ
箱庭,名詞,一般,*,*,*,*,箱庭,ハコニワ,ハコニワ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
移り変わり,名詞,一般,*,*,*,*,移り変わり,ウツリカワリ,ウツリカワリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
激しい,形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ
この世,名詞,一般,*,*,*,*,この世,コノヨ,コノヨ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
目指し,動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
ゴール,名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
も,助詞,係助詞,*,*,*,*,も,モ,モ
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
まま,名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ
息,名詞,サ変接続,*,*,*,*,息,イキ,イキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
切らし,動詞,自立,*,*,五段・サ行,連用形,切らす,キラシ,キラシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
ボク,名詞,代名詞,一般,*,*,*,ボク,ボク,ボク
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
辿り,動詞,自立,*,*,五段・ラ行,連用形,辿る,タドリ,タドリ
着く,動詞,自立,*,*,五段・カ行イ音便,基本形,着く,ツク,ツク
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
　,記号,空白,*,*,*,*,　,　,　
沖縄,名詞,固有名詞,地域,一般,*,*,沖縄,オキナワ,オキナワ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
白い,形容詞,自立,*,*,形容詞・アウオ段,基本形,白い,シロイ,シロイ
雪,名詞,一般,*,*,*,*,雪,ユキ,ユキ
目,名詞,一般,*,*,*,*,目,メ,メ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
止まら,動詞,自立,*,*,五段・ラ行,未然形,止まる,トマラ,トマラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
　,記号,空白,*,*,*,*,　,　,　
金,名詞,一般,*,*,*,*,金,キン,キン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
亡者,名詞,一般,*,*,*,*,亡者,モウジャ,モージャ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
決め,動詞,自立,*,*,一段,連用形,決める,キメ,キメ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
スピード,名詞,一般,*,*,*,*,スピード,スピード,スピード
で,助詞,格助詞,一般,*,*,*,で,デ,デ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
何処,名詞,代名詞,一般,*,*,*,何処,ドコ,ドコ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
落とし,動詞,自立,*,*,五段・サ行,連用形,落とす,オトシ,オトシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
宝物,名詞,一般,*,*,*,*,宝物,ホウモツ,ホーモツ
　,記号,空白,*,*,*,*,　,　,　
探し,動詞,自立,*,*,五段・サ行,連用形,探す,サガシ,サガシ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
　,記号,空白,*,*,*,*,　,　,　
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ
結局,名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
どっち,名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
け,助詞,終助詞,*,*,*,*,け,ケ,ケ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
?,名詞,サ変接続,*,*,*,*,*
やわらかい,形容詞,自立,*,*,形容詞・アウオ段,基本形,やわらかい,ヤワラカイ,ヤワラカイ
胸,名詞,一般,*,*,*,*,胸,ムネ,ムネ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
「,記号,括弧開,*,*,*,*,「,「,「
ウサギ,名詞,一般,*,*,*,*,ウサギ,ウサギ,ウサギ
と,助詞,並立助詞,*,*,*,*,と,ト,ト
カメ,名詞,固有名詞,一般,*,*,*,カメ,カメ,カメ
」,記号,括弧閉,*,*,*,*,」,」,」
気がつけ,動詞,自立,*,*,五段・カ行イ音便,仮定形,気がつく,キガツケ,キガツケ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
また,接続詞,*,*,*,*,*,また,マタ,マタ
紅い,形容詞,自立,*,*,形容詞・アウオ段,基本形,紅い,アカイ,アカイ
夕暮れ,名詞,副詞可能,*,*,*,*,夕暮れ,ユウグレ,ユーグレ
今夜,名詞,副詞可能,*,*,*,*,今夜,コンヤ,コンヤ
帰っ,動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
アイツ,名詞,一般,*,*,*,*,アイツ,アイツ,アイツ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
聞か,動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ
せよ,動詞,接尾,*,*,一段,未然ウ接続,せる,セヨ,セヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
NO,名詞,固有名詞,組織,*,*,*,*
NUKES,名詞,一般,*,*,*,*,*
！,記号,一般,*,*,*,*,！,！,！
オオカミ,名詞,一般,*,*,*,*,オオカミ,オオカミ,オーカミ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
